"Acceleration (m/s^2): (1.892,-0.739,-2.384)"
"Magnetometer (gauss): (0.988,-0.091,0.418)"
"Gyroscope (degrees/sec): (-21.998,-0.604,-57.881)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.522,0.131,-8.670)"
"Magnetometer (gauss): (0.988,-0.091,0.418)"
"Gyroscope (degrees/sec): (5.591,4.200,-172.366)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.572,0.156,-9.754)"
"Magnetometer (gauss): (0.988,-0.091,0.418)"
"Gyroscope (degrees/sec): (4.244,0.998,-10.631)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.587,0.159,-9.786)"
"Magnetometer (gauss): (0.988,-0.091,0.418)"
"Gyroscope (degrees/sec): (4.366,0.403,-0.236)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.573,0.172,-9.837)"
"Magnetometer (gauss): (0.987,-0.090,0.426)"
"Gyroscope (degrees/sec): (4.323,0.368,-0.210)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.580,0.197,-9.922)"
"Magnetometer (gauss): (0.987,-0.090,0.426)"
"Gyroscope (degrees/sec): (4.095,0.298,-0.490)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.626,0.193,-9.966)"
"Magnetometer (gauss): (0.987,-0.090,0.426)"
"Gyroscope (degrees/sec): (3.868,0.140,-0.814)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.623,0.223,-9.975)"
"Magnetometer (gauss): (0.987,-0.090,0.426)"
"Gyroscope (degrees/sec): (3.299,-0.403,-1.383)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.659,0.224,-10.003)"
"Magnetometer (gauss): (0.987,-0.090,0.426)"
"Gyroscope (degrees/sec): (2.406,-0.770,-1.759)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.655,0.213,-10.068)"
"Magnetometer (gauss): (0.987,-0.090,0.426)"
"Gyroscope (degrees/sec): (1.951,-0.971,-1.960)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.689,0.211,-9.995)"
"Magnetometer (gauss): (0.985,-0.080,0.417)"
"Gyroscope (degrees/sec): (0.998,-0.901,-1.890)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.672,0.191,-10.034)"
"Magnetometer (gauss): (0.985,-0.080,0.417)"
"Gyroscope (degrees/sec): (0.149,-1.383,-2.074)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.662,0.191,-9.989)"
"Magnetometer (gauss): (0.985,-0.080,0.417)"
"Gyroscope (degrees/sec): (-0.604,-1.794,-2.240)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.662,0.169,-9.975)"
"Magnetometer (gauss): (0.985,-0.080,0.417)"
"Gyroscope (degrees/sec): (-1.181,-2.065,-2.319)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.622,0.151,-9.966)"
"Magnetometer (gauss): (0.985,-0.080,0.417)"
"Gyroscope (degrees/sec): (-1.811,-1.794,-2.284)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.648,0.156,-9.952)"
"Magnetometer (gauss): (0.985,-0.080,0.417)"
"Gyroscope (degrees/sec): (-2.406,-2.144,-2.398)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.675,0.102,-9.889)"
"Magnetometer (gauss): (0.985,-0.080,0.417)"
"Gyroscope (degrees/sec): (-2.503,-1.960,-2.398)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.661,0.084,-9.854)"
"Magnetometer (gauss): (0.989,-0.086,0.419)"
"Gyroscope (degrees/sec): (-2.599,-2.048,-2.424)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.671,0.047,-9.851)"
"Magnetometer (gauss): (0.989,-0.086,0.419)"
"Gyroscope (degrees/sec): (-2.678,-1.951,-2.371)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.675,0.032,-9.808)"
"Magnetometer (gauss): (0.989,-0.086,0.419)"
"Gyroscope (degrees/sec): (-2.170,-1.864,-0.009)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.724,0.014,-9.660)"
"Magnetometer (gauss): (0.989,-0.086,0.419)"
"Gyroscope (degrees/sec): (-2.021,-1.846,-2.004)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.761,0.014,-9.787)"
"Magnetometer (gauss): (0.989,-0.086,0.419)"
"Gyroscope (degrees/sec): (-1.374,-1.916,-1.925)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.742,0.019,-9.764)"
"Magnetometer (gauss): (0.989,-0.086,0.419)"
"Gyroscope (degrees/sec): (-0.595,-2.214,-1.768)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.769,0.032,-9.756)"
"Magnetometer (gauss): (0.984,-0.073,0.418)"
"Gyroscope (degrees/sec): (-0.079,-2.214,-1.776)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.779,0.040,-9.757)"
"Magnetometer (gauss): (0.984,-0.073,0.418)"
"Gyroscope (degrees/sec): (0.280,-2.161,-1.426)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.706,0.026,-9.732)"
"Magnetometer (gauss): (0.984,-0.073,0.418)"
"Gyroscope (degrees/sec): (0.621,-2.293,-1.400)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.732,0.040,-9.726)"
"Magnetometer (gauss): (0.984,-0.073,0.418)"
"Gyroscope (degrees/sec): (0.831,-2.231,-1.356)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.681,0.042,-9.715)"
