"Acceleration (m/s^2): (-1.976,1.214,-15.175)"
"Magnetometer (gauss): (1.000,-0.114,0.419)"
"Gyroscope (degrees/sec): (188.388,61.399,-155.645)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.184,0.551,-9.551)"
"Magnetometer (gauss): (1.000,-0.114,0.419)"
"Gyroscope (degrees/sec): (47.915,85.251,-278.906)"
Temperature: 25.500C
"Acceleration (m/s^2): (1.869,0.486,-8.569)"
"Magnetometer (gauss): (1.000,-0.114,0.419)"
"Gyroscope (degrees/sec): (-95.681,-25.436,-282.643)"
Temperature: 20.500C
"Acceleration (m/s^2): (-0.379,0.508,-8.736)"
"Magnetometer (gauss): (1.000,-0.114,0.419)"
"Gyroscope (degrees/sec): (61.408,14.455,-37.818)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.343,0.566,-9.765)"
"Magnetometer (gauss): (1.000,-0.114,0.419)"
"Gyroscope (degrees/sec): (5.898,3.929,-10.168)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.332,0.550,-9.818)"
"Magnetometer (gauss): (1.000,-0.114,0.419)"
"Gyroscope (degrees/sec): (0.000,2.310,-6.353)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.345,0.532,-9.808)"
"Magnetometer (gauss): (1.000,-0.117,0.414)"
"Gyroscope (degrees/sec): (1.181,2.249,-6.274)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.320,0.507,-9.802)"
"Magnetometer (gauss): (0.998,-0.117,0.414)"
"Gyroscope (degrees/sec): (1.041,3.019,-6.011)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.361,0.503,-9.842)"
"Magnetometer (gauss): (0.998,-0.117,0.414)"
"Gyroscope (degrees/sec): (0.945,3.439,-5.898)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.413,0.487,-9.823)"
"Magnetometer (gauss): (0.998,-0.117,0.414)"
"Gyroscope (degrees/sec): (0.613,3.684,-6.064)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.401,0.494,-9.820)"
"Magnetometer (gauss): (0.998,-0.117,0.414)"
"Gyroscope (degrees/sec): (0.543,3.675,-5.915)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.382,0.479,-9.882)"
"Magnetometer (gauss): (0.998,-0.117,0.414)"
"Gyroscope (degrees/sec): (0.376,3.631,-5.758)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.354,0.449,-9.902)"
"Magnetometer (gauss): (0.998,-0.117,0.414)"
"Gyroscope (degrees/sec): (0.114,3.911,-5.714)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.373,0.417,-9.883)"
"Magnetometer (gauss): (0.998,-0.122,0.433)"
"Gyroscope (degrees/sec): (0.123,5.819,-3.553)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.373,0.392,-9.878)"
"Magnetometer (gauss): (0.998,-0.122,0.433)"
"Gyroscope (degrees/sec): (-0.158,3.868,-5.224)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.404,0.380,-9.900)"
"Magnetometer (gauss): (0.998,-0.122,0.433)"
"Gyroscope (degrees/sec): (0.166,3.640,-5.005)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.363,0.383,-9.912)"
