"Acceleration (m/s^2): (-0.823,0.178,-9.863)"
"Magnetometer (gauss): (1.037,-0.096,0.396)"
"Gyroscope (degrees/sec): (-62.431,-63.149,259.639)"
Temperature: 23.500C
"Acceleration (m/s^2): (-1.071,0.285,-10.559)"
"Magnetometer (gauss): (1.037,-0.096,0.396)"
"Gyroscope (degrees/sec): (-208.364,-60.419,286.676)"
Temperature: 23.500C
"Acceleration (m/s^2): (-1.613,0.469,-11.950)"
"Magnetometer (gauss): (1.037,-0.096,0.396)"
"Gyroscope (degrees/sec): (154.814,-38.080,264.224)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.628,0.231,-8.789)"
"Magnetometer (gauss): (1.037,-0.096,0.396)"
"Gyroscope (degrees/sec): (-42.403,-13.825,79.039)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.663,0.273,-9.839)"
"Magnetometer (gauss): (1.037,-0.096,0.396)"
"Gyroscope (degrees/sec): (-0.315,-0.674,13.624)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.665,0.270,-9.881)"
"Magnetometer (gauss): (1.037,-0.096,0.396)"
"Gyroscope (degrees/sec): (5.600,1.295,4.716)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.689,0.299,-9.839)"
"Magnetometer (gauss): (1.040,-0.097,0.412)"
"Gyroscope (degrees/sec): (5.976,1.164,3.911)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.675,0.312,-9.880)"
"Magnetometer (gauss): (1.040,-0.097,0.412)"
"Gyroscope (degrees/sec): (5.880,1.129,3.920)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.683,0.363,-9.823)"
"Magnetometer (gauss): (1.040,-0.097,0.412)"
"Gyroscope (degrees/sec): (5.976,1.094,3.745)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.683,0.370,-9.813)"
"Magnetometer (gauss): (1.040,-0.097,0.412)"
"Gyroscope (degrees/sec): (5.793,0.866,3.614)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.628,0.389,-9.796)"
"Magnetometer (gauss): (1.040,-0.097,0.412)"
"Gyroscope (degrees/sec): (5.880,0.989,3.640)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.583,0.404,-9.769)"
"Magnetometer (gauss): (1.040,-0.097,0.412)"
"Gyroscope (degrees/sec): (5.871,1.076,3.255)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.577,0.405,-9.672)"
"Magnetometer (gauss): (1.040,-0.097,0.412)"
"Gyroscope (degrees/sec): (6.248,0.831,2.695)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.569,0.416,-9.736)"
"Magnetometer (gauss): (1.037,-0.094,0.402)"
"Gyroscope (degrees/sec): (8.339,-1.383,1.374)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.566,0.405,-9.749)"
"Magnetometer (gauss): (1.037,-0.094,0.402)"
"Gyroscope (degrees/sec): (6.169,0.656,2.336)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.494,0.385,-9.792)"
"Magnetometer (gauss): (1.037,-0.094,0.402)"
"Gyroscope (degrees/sec): (5.994,0.901,2.056)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.486,0.366,-9.776)"
"Magnetometer (gauss): (1.037,-0.094,0.402)"
"Gyroscope (degrees/sec): (5.950,1.260,2.100)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.463,0.354,-9.773)"
"Magnetometer (gauss): (1.037,-0.094,0.402)"
"Gyroscope (degrees/sec): (5.871,1.733,1.628)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.458,0.367,-9.727)"
"Magnetometer (gauss): (1.037,-0.094,0.402)"
"Gyroscope (degrees/sec): (5.880,1.908,1.374)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.528,0.350,-9.780)"
"Magnetometer (gauss): (1.037,-0.094,0.402)"
"Gyroscope (degrees/sec): (5.836,1.978,0.901)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.531,0.363,-9.835)"
"Magnetometer (gauss): (1.029,-0.090,0.401)"
"Gyroscope (degrees/sec): (5.285,2.161,1.068)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.609,0.380,-9.856)"
"Magnetometer (gauss): (1.029,-0.090,0.401)"
"Gyroscope (degrees/sec): (4.909,2.039,0.971)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.686,0.394,-9.905)"
"Magnetometer (gauss): (1.029,-0.090,0.401)"
"Gyroscope (degrees/sec): (4.769,1.435,0.858)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.732,0.424,-9.968)"
"Magnetometer (gauss): (1.029,-0.090,0.401)"
"Gyroscope (degrees/sec): (4.498,0.875,0.761)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.760,0.440,-9.987)"
"Magnetometer (gauss): (1.029,-0.090,0.401)"
"Gyroscope (degrees/sec): (4.270,0.245,0.744)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.706,0.458,-9.958)"
"Magnetometer (gauss): (1.029,-0.090,0.401)"
"Gyroscope (degrees/sec): (4.095,-0.236,0.586)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.664,0.454,-9.950)"
"Magnetometer (gauss): (1.035,-0.089,0.398)"
"Gyroscope (degrees/sec): (3.719,-0.648,0.648)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.676,0.330,-9.874)"
"Magnetometer (gauss): (1.035,-0.089,0.398)"
"Gyroscope (degrees/sec): (3.255,-1.033,0.534)"
