"Acceleration (m/s^2): (-1.360,0.495,-11.942)"
"Magnetometer (gauss): (1.041,-0.092,0.402)"
"Gyroscope (degrees/sec): (146.519,-40.880,265.493)"
Temperature: 23.500C
"Acceleration (m/s^2): (-3.083,1.099,-17.094)"
"Magnetometer (gauss): (1.041,-0.092,0.402)"
"Gyroscope (degrees/sec): (29.041,18.279,92.689)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.163,0.881,-15.114)"
"Magnetometer (gauss): (1.041,-0.092,0.402)"
"Gyroscope (degrees/sec): (200.008,74.305,-111.283)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.534,0.237,-8.694)"
"Magnetometer (gauss): (1.041,-0.092,0.402)"
"Gyroscope (degrees/sec): (-115.894,-20.650,173.093)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.602,0.258,-9.721)"
"Magnetometer (gauss): (1.041,-0.092,0.402)"
"Gyroscope (degrees/sec): (-5.556,-2.818,21.543)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.629,0.238,-9.675)"
"Magnetometer (gauss): (1.041,-0.092,0.402)"
"Gyroscope (degrees/sec): (1.190,-0.394,0.166)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.622,0.249,-9.647)"
"Magnetometer (gauss): (1.041,-0.092,0.402)"
"Gyroscope (degrees/sec): (2.275,0.053,-1.304)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.680,0.268,-9.662)"
"Magnetometer (gauss): (1.031,-0.097,0.402)"
"Gyroscope (degrees/sec): (2.336,0.464,-1.103)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.702,0.248,-9.647)"
"Magnetometer (gauss): (1.031,-0.097,0.402)"
"Gyroscope (degrees/sec): (2.774,0.289,-0.875)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.717,0.264,-9.674)"
"Magnetometer (gauss): (1.031,-0.097,0.402)"
"Gyroscope (degrees/sec): (2.923,0.350,-0.814)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.710,0.288,-9.708)"
"Magnetometer (gauss): (1.031,-0.097,0.402)"
"Gyroscope (degrees/sec): (3.509,0.866,-0.823)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.722,0.309,-9.760)"
"Magnetometer (gauss): (1.031,-0.097,0.402)"
"Gyroscope (degrees/sec): (3.500,0.761,-0.753)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.713,0.331,-9.718)"
"Magnetometer (gauss): (1.031,-0.097,0.402)"
"Gyroscope (degrees/sec): (3.990,0.324,-0.735)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.730,0.317,-9.776)"
"Magnetometer (gauss): (1.039,-0.109,0.400)"
"Gyroscope (degrees/sec): (4.025,0.228,-0.945)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.718,0.331,-9.743)"
"Magnetometer (gauss): (1.039,-0.109,0.400)"
"Gyroscope (degrees/sec): (5.740,-1.741,-2.818)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.684,0.329,-9.757)"
"Magnetometer (gauss): (1.039,-0.109,0.400)"
