"Acceleration (m/s^2): (-2.644,0.727,-16.067)"
"Magnetometer (gauss): (1.020,-0.085,0.422)"
"Gyroscope (degrees/sec): (216.291,53.104,-114.818)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.685,0.056,-9.786)"
"Magnetometer (gauss): (1.020,-0.085,0.422)"
"Gyroscope (degrees/sec): (7.403,0.770,3.929)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.669,0.007,-9.742)"
"Magnetometer (gauss): (1.020,-0.085,0.422)"
"Gyroscope (degrees/sec): (4.734,0.018,0.989)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.645,-0.010,-9.732)"
"Magnetometer (gauss): (1.024,-0.075,0.428)"
"Gyroscope (degrees/sec): (4.454,0.473,0.569)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.672,-0.049,-9.760)"
"Magnetometer (gauss): (1.024,-0.075,0.428)"
"Gyroscope (degrees/sec): (4.288,0.761,0.586)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.732,-0.041,-9.723)"
"Magnetometer (gauss): (1.024,-0.075,0.428)"
"Gyroscope (degrees/sec): (4.690,0.928,0.613)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.744,-0.056,-9.698)"
"Magnetometer (gauss): (1.024,-0.075,0.428)"
"Gyroscope (degrees/sec): (4.340,0.788,0.508)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.723,-0.040,-9.706)"
"Magnetometer (gauss): (1.024,-0.075,0.428)"
"Gyroscope (degrees/sec): (4.568,0.788,0.718)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.748,-0.044,-9.690)"
"Magnetometer (gauss): (1.024,-0.075,0.428)"
"Gyroscope (degrees/sec): (4.620,0.779,0.656)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.719,-0.054,-9.753)"
"Magnetometer (gauss): (1.024,-0.075,0.428)"
"Gyroscope (degrees/sec): (5.014,0.823,0.543)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.677,-0.057,-9.754)"
"Magnetometer (gauss): (1.027,-0.091,0.427)"
"Gyroscope (degrees/sec): (4.918,0.919,0.438)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.666,-0.039,-9.745)"
"Magnetometer (gauss): (1.027,-0.091,0.427)"
"Gyroscope (degrees/sec): (4.358,1.059,1.225)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.655,-0.034,-9.736)"
"Magnetometer (gauss): (1.027,-0.091,0.427)"
"Gyroscope (degrees/sec): (4.830,0.656,0.429)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.668,-0.009,-9.756)"
"Magnetometer (gauss): (1.027,-0.091,0.427)"
"Gyroscope (degrees/sec): (4.751,0.893,0.289)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.709,-0.001,-9.705)"
"Magnetometer (gauss): (1.027,-0.091,0.427)"
"Gyroscope (degrees/sec): (4.769,0.928,0.070)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.639,-0.010,-9.754)"
"Magnetometer (gauss): (1.027,-0.091,0.427)"
"Gyroscope (degrees/sec): (4.296,0.858,0.079)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.658,0.018,-9.731)"
"Magnetometer (gauss): (1.027,-0.091,0.427)"
"Gyroscope (degrees/sec): (4.506,0.700,-0.175)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.636,0.031,-9.783)"
"Magnetometer (gauss): (1.030,-0.081,0.409)"
"Gyroscope (degrees/sec): (4.305,0.403,-0.385)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.619,0.038,-9.769)"
"Magnetometer (gauss): (1.030,-0.081,0.409)"
"Gyroscope (degrees/sec): (4.051,0.683,-0.726)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.640,0.038,-9.648)"
"Magnetometer (gauss): (1.030,-0.081,0.409)"
"Gyroscope (degrees/sec): (3.588,0.656,-1.085)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.610,0.048,-9.815)"
"Magnetometer (gauss): (1.030,-0.081,0.409)"
"Gyroscope (degrees/sec): (3.439,0.831,-1.453)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.584,0.050,-9.840)"
"Magnetometer (gauss): (1.030,-0.081,0.409)"
"Gyroscope (degrees/sec): (3.185,0.490,-1.698)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.602,0.035,-9.808)"
"Magnetometer (gauss): (1.030,-0.081,0.409)"
"Gyroscope (degrees/sec): (2.783,0.298,-1.759)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.587,0.068,-9.748)"
"Magnetometer (gauss): (1.030,-0.081,0.409)"
"Gyroscope (degrees/sec): (2.678,0.473,-1.951)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.566,0.074,-9.809)"
"Magnetometer (gauss): (1.021,-0.079,0.423)"
"Gyroscope (degrees/sec): (2.240,0.376,-1.925)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.571,0.050,-9.837)"
"Magnetometer (gauss): (1.021,-0.079,0.423)"
"Gyroscope (degrees/sec): (2.013,0.534,-1.951)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.578,0.066,-9.802)"
"Magnetometer (gauss): (1.021,-0.079,0.423)"
"Gyroscope (degrees/sec): (1.558,0.893,-2.083)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.546,0.054,-9.756)"
"Magnetometer (gauss): (1.021,-0.079,0.423)"
"Gyroscope (degrees/sec): (1.636,1.199,-2.074)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.516,0.042,-9.752)"
"Magnetometer (gauss): (1.021,-0.079,0.423)"
"Gyroscope (degrees/sec): (1.356,1.575,-1.978)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.558,0.026,-9.739)"
"Magnetometer (gauss): (1.021,-0.079,0.423)"
"Gyroscope (degrees/sec): (1.610,2.135,-1.916)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.538,0.036,-9.769)"
"Magnetometer (gauss): (1.016,-0.094,0.426)"
"Gyroscope (degrees/sec): (1.286,2.529,-1.890)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.528,0.038,-9.772)"
"Magnetometer (gauss): (1.016,-0.094,0.426)"
"Gyroscope (degrees/sec): (1.505,3.124,-1.698)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.598,0.035,-9.785)"
"Magnetometer (gauss): (1.016,-0.094,0.426)"
"Gyroscope (degrees/sec): (1.689,3.098,-1.733)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.639,0.052,-9.848)"
"Magnetometer (gauss): (1.016,-0.094,0.426)"
"Gyroscope (degrees/sec): (1.986,2.730,-1.724)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.604,0.039,-9.927)"
"Magnetometer (gauss): (1.016,-0.094,0.426)"
"Gyroscope (degrees/sec): (1.706,2.783,-1.838)"
