"Acceleration (m/s^2): (-3.205,1.434,-16.758)"
"Magnetometer (gauss): (1.031,-0.110,0.387)"
"Gyroscope (degrees/sec): (227.071,34.921,-24.754)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.841,0.662,-10.820)"
"Magnetometer (gauss): (1.031,-0.110,0.387)"
"Gyroscope (degrees/sec): (127.969,85.829,-257.127)"
Temperature: 23.500C
"Acceleration (m/s^2): (1.685,0.586,-9.155)"
"Magnetometer (gauss): (1.031,-0.110,0.387)"
"Gyroscope (degrees/sec): (-18.646,1.050,-286.633)"
Temperature: 20.500C
"Acceleration (m/s^2): (-0.695,0.538,-8.700)"
"Magnetometer (gauss): (1.031,-0.110,0.387)"
"Gyroscope (degrees/sec): (11.568,5.941,71.943)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.691,0.568,-9.717)"
"Magnetometer (gauss): (1.031,-0.110,0.387)"
"Gyroscope (degrees/sec): (3.378,1.024,3.334)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.677,0.516,-9.728)"
"Magnetometer (gauss): (1.031,-0.110,0.387)"
"Gyroscope (degrees/sec): (1.715,0.656,-0.954)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.653,0.507,-9.659)"
"Magnetometer (gauss): (1.067,-0.102,0.398)"
"Gyroscope (degrees/sec): (1.374,0.761,-1.838)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.623,0.482,-9.679)"
"Magnetometer (gauss): (1.040,-0.102,0.398)"
"Gyroscope (degrees/sec): (1.505,1.348,-1.558)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.618,0.438,-9.614)"
"Magnetometer (gauss): (1.040,-0.102,0.398)"
"Gyroscope (degrees/sec): (1.505,1.689,-1.190)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.702,0.407,-9.577)"
"Magnetometer (gauss): (1.040,-0.102,0.398)"
"Gyroscope (degrees/sec): (2.030,2.258,-1.435)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.673,0.428,-9.622)"
"Magnetometer (gauss): (1.040,-0.102,0.398)"
"Gyroscope (degrees/sec): (2.205,2.380,-1.348)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.740,0.403,-9.611)"
"Magnetometer (gauss): (1.040,-0.102,0.398)"
"Gyroscope (degrees/sec): (2.931,2.581,-0.543)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.908,0.425,-9.689)"
"Magnetometer (gauss): (1.040,-0.102,0.398)"
"Gyroscope (degrees/sec): (3.150,2.835,-0.630)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.810,0.403,-9.684)"
"Magnetometer (gauss): (1.040,-0.107,0.393)"
"Gyroscope (degrees/sec): (3.526,2.853,-0.245)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.849,0.458,-9.712)"
"Magnetometer (gauss): (1.040,-0.107,0.393)"
"Gyroscope (degrees/sec): (3.133,3.448,0.770)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.900,0.467,-9.774)"
"Magnetometer (gauss): (1.040,-0.107,0.393)"
"Gyroscope (degrees/sec): (4.130,2.634,0.394)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.910,0.504,-9.799)"
"Magnetometer (gauss): (1.040,-0.107,0.393)"
"Gyroscope (degrees/sec): (4.541,2.293,0.403)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.916,0.531,-9.780)"
"Magnetometer (gauss): (1.040,-0.107,0.393)"
"Gyroscope (degrees/sec): (4.454,1.864,0.403)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.858,0.587,-9.830)"
"Magnetometer (gauss): (1.040,-0.107,0.393)"
"Gyroscope (degrees/sec): (4.296,1.286,0.368)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.829,0.576,-9.893)"
"Magnetometer (gauss): (1.040,-0.107,0.393)"
"Gyroscope (degrees/sec): (4.638,0.945,0.315)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.841,0.613,-9.897)"
"Magnetometer (gauss): (1.030,-0.106,0.392)"
"Gyroscope (degrees/sec): (4.340,0.674,0.324)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.821,0.616,-9.876)"
"Magnetometer (gauss): (1.030,-0.106,0.392)"
"Gyroscope (degrees/sec): (4.156,0.341,0.096)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.833,0.599,-9.893)"
"Magnetometer (gauss): (1.030,-0.106,0.392)"
"Gyroscope (degrees/sec): (3.946,0.350,-0.254)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.803,0.616,-9.882)"
"Magnetometer (gauss): (1.030,-0.106,0.392)"
"Gyroscope (degrees/sec): (3.430,-0.009,-0.586)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.808,0.587,-9.828)"
"Magnetometer (gauss): (1.030,-0.106,0.392)"
"Gyroscope (degrees/sec): (3.106,-0.429,-0.919)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.760,0.586,-9.826)"
"Magnetometer (gauss): (1.030,-0.106,0.392)"
"Gyroscope (degrees/sec): (2.949,-0.245,-0.831)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.762,0.590,-9.833)"
"Magnetometer (gauss): (1.030,-0.106,0.392)"
"Gyroscope (degrees/sec): (2.415,-0.455,-1.138)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.785,0.592,-9.768)"
"Magnetometer (gauss): (1.035,-0.109,0.386)"
"Gyroscope (degrees/sec): (1.645,-0.350,-1.461)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.846,0.618,-9.837)"
"Magnetometer (gauss): (1.035,-0.109,0.386)"
"Gyroscope (degrees/sec): (1.838,-0.236,-1.488)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.869,0.637,-9.872)"
"Magnetometer (gauss): (1.035,-0.109,0.386)"
"Gyroscope (degrees/sec): (1.584,-0.569,-1.409)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.906,0.686,-9.844)"
"Magnetometer (gauss): (1.035,-0.109,0.386)"
"Gyroscope (degrees/sec): (1.540,-0.753,-1.435)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.893,0.687,-9.869)"
"Magnetometer (gauss): (1.035,-0.109,0.386)"
"Gyroscope (degrees/sec): (1.418,-0.893,-1.706)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.855,0.667,-9.826)"
"Magnetometer (gauss): (1.035,-0.109,0.386)"
"Gyroscope (degrees/sec): (1.750,-1.120,-1.768)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.823,0.653,-9.788)"
"Magnetometer (gauss): (1.029,-0.115,0.387)"
"Gyroscope (degrees/sec): (1.925,-1.391,-1.969)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.759,0.633,-9.740)"
"Magnetometer (gauss): (1.029,-0.115,0.387)"
"Gyroscope (degrees/sec): (1.986,-1.400,-1.829)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.792,0.647,-9.721)"
"Magnetometer (gauss): (1.029,-0.115,0.387)"
"Gyroscope (degrees/sec): (2.013,-1.155,-2.083)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.799,0.648,-9.735)"
"Magnetometer (gauss): (1.029,-0.115,0.387)"
"Gyroscope (degrees/sec): (2.441,-1.225,-2.100)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.840,0.618,-9.719)"
"Magnetometer (gauss): (1.029,-0.115,0.387)"
"Gyroscope (degrees/sec): (2.275,-1.365,-1.838)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.827,0.639,-9.757)"
"Magnetometer (gauss): (1.029,-0.115,0.387)"
"Gyroscope (degrees/sec): (2.126,-1.391,-1.873)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.782,0.605,-9.735)"
"Magnetometer (gauss): (1.029,-0.115,0.387)"
"Gyroscope (degrees/sec): (2.074,-1.278,-2.083)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.745,0.603,-9.754)"
"Magnetometer (gauss): (1.036,-0.100,0.390)"
"Gyroscope (degrees/sec): (2.065,-0.971,-2.126)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.757,0.609,-9.702)"
"Magnetometer (gauss): (1.036,-0.100,0.390)"
"Gyroscope (degrees/sec): (1.759,-0.805,-2.196)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.903,0.581,-9.696)"
"Magnetometer (gauss): (1.036,-0.100,0.390)"
"Gyroscope (degrees/sec): (1.680,-0.805,-2.450)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.753,0.583,-9.705)"
"Magnetometer (gauss): (1.036,-0.100,0.390)"
"Gyroscope (degrees/sec): (1.269,-0.849,-2.415)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.791,0.563,-9.780)"
"Magnetometer (gauss): (1.036,-0.100,0.390)"
"Gyroscope (degrees/sec): (1.269,-0.945,-2.590)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.869,0.559,-9.793)"
"Magnetometer (gauss): (1.036,-0.100,0.390)"
"Gyroscope (degrees/sec): (1.006,-0.770,-2.266)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.870,0.575,-9.701)"
"Magnetometer (gauss): (1.036,-0.098,0.380)"
"Gyroscope (degrees/sec): (0.963,-1.111,-2.039)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.849,0.546,-9.732)"
"Magnetometer (gauss): (1.035,-0.098,0.380)"
"Gyroscope (degrees/sec): (0.481,-1.278,-1.803)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.900,0.562,-9.698)"
"Magnetometer (gauss): (1.035,-0.098,0.380)"
"Gyroscope (degrees/sec): (0.219,-1.138,-1.453)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.845,0.543,-9.578)"
"Magnetometer (gauss): (1.035,-0.098,0.380)"
"Gyroscope (degrees/sec): (0.534,-0.945,-1.050)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.860,0.553,-9.641)"
"Magnetometer (gauss): (1.035,-0.098,0.380)"
"Gyroscope (degrees/sec): (0.551,-0.333,-0.455)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.892,0.535,-9.639)"
"Magnetometer (gauss): (1.035,-0.098,0.380)"
"Gyroscope (degrees/sec): (1.103,-0.359,-0.096)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.953,0.524,-9.616)"
"Magnetometer (gauss): (1.035,-0.098,0.380)"
"Gyroscope (degrees/sec): (1.295,-0.368,0.490)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.949,0.544,-9.665)"
"Magnetometer (gauss): (1.033,-0.105,0.387)"
"Gyroscope (degrees/sec): (1.881,-0.271,0.866)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.957,0.534,-9.730)"
"Magnetometer (gauss): (1.033,-0.105,0.387)"
"Gyroscope (degrees/sec): (1.943,-0.604,0.971)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.949,0.564,-9.734)"
"Magnetometer (gauss): (1.033,-0.105,0.387)"
"Gyroscope (degrees/sec): (2.599,-0.586,1.321)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.928,0.568,-9.673)"
"Magnetometer (gauss): (1.033,-0.105,0.387)"
"Gyroscope (degrees/sec): (2.975,-1.181,1.260)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.888,0.556,-9.675)"
"Magnetometer (gauss): (1.033,-0.105,0.387)"
"Gyroscope (degrees/sec): (3.316,-1.234,1.278)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.859,0.567,-9.654)"
"Magnetometer (gauss): (1.033,-0.105,0.387)"
"Gyroscope (degrees/sec): (3.605,-1.181,1.523)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.834,0.564,-9.620)"
"Magnetometer (gauss): (1.033,-0.105,0.387)"
"Gyroscope (degrees/sec): (3.833,-1.409,1.453)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.789,0.561,-9.636)"
"Magnetometer (gauss): (1.042,-0.098,0.410)"
"Gyroscope (degrees/sec): (3.719,-1.339,1.619)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.815,0.561,-9.618)"
"Magnetometer (gauss): (1.042,-0.098,0.410)"
"Gyroscope (degrees/sec): (3.439,-1.059,1.575)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.814,0.609,-9.627)"
"Magnetometer (gauss): (1.042,-0.098,0.410)"
"Gyroscope (degrees/sec): (2.966,-0.805,1.435)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.773,0.602,-9.694)"
"Magnetometer (gauss): (1.042,-0.098,0.410)"
"Gyroscope (degrees/sec): (2.695,-0.805,0.910)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.728,0.604,-9.702)"
