Acceleration (m/s^2): (-0.642,0.265,-9.788)
Magnetometer (gauss): (1.009,-0.090,0.365)
Gyroscope (degrees/sec): (-13.029,-62.878,280.446)
Temperature: 23.500C
Acceleration (m/s^2): (-2.503,0.924,-15.616)
Magnetometer (gauss): (1.009,-0.090,0.365)
Gyroscope (degrees/sec): (102.279,42.394,-32.996)
Temperature: 23.500C
Acceleration (m/s^2): (0.435,0.426,-11.289)
Magnetometer (gauss): (1.009,-0.090,0.365)
Gyroscope (degrees/sec): (145.801,56.446,-195.878)
Temperature: 23.500C
Acceleration (m/s^2): (1.967,-0.553,-2.841)
Magnetometer (gauss): (1.009,-0.090,0.365)
Gyroscope (degrees/sec): (-105.446,-34.493,157.666)
Temperature: 24.500C
Acceleration (m/s^2): (-0.577,0.232,-9.477)
Magnetometer (gauss): (1.009,-0.090,0.365)
Gyroscope (degrees/sec): (-25.384,-6.046,44.214)
Temperature: 24.500C
Acceleration (m/s^2): (-0.586,0.272,-9.555)
Magnetometer (gauss): (1.009,-0.090,0.365)
Gyroscope (degrees/sec): (5.880,-0.560,10.745)
Temperature: 24.500C
Acceleration (m/s^2): (-0.633,0.280,-9.515)
Magnetometer (gauss): (1.009,-0.090,0.365)
Gyroscope (degrees/sec): (7.963,0.621,5.968)
Temperature: 24.500C
Acceleration (m/s^2): (-0.616,0.173,-9.531)
Magnetometer (gauss): (1.002,-0.097,0.356)
Gyroscope (degrees/sec): (8.750,1.138,5.023)
Temperature: 24.500C
Acceleration (m/s^2): (-0.601,0.361,-9.613)
Magnetometer (gauss): (1.002,-0.097,0.356)
Gyroscope (degrees/sec): (8.873,1.838,4.716)
Temperature: 24.500C
Acceleration (m/s^2): (-0.587,0.371,-9.596)
Magnetometer (gauss): (1.002,-0.097,0.356)
Gyroscope (degrees/sec): (9.030,2.328,4.655)
Temperature: 24.500C
Acceleration (m/s^2): (-0.533,0.401,-9.670)
Magnetometer (gauss): (1.002,-0.097,0.356)
Gyroscope (degrees/sec): (9.258,2.678,4.358)
Temperature: 24.500C
Acceleration (m/s^2): (-0.550,0.405,-9.665)
Magnetometer (gauss): (1.002,-0.097,0.356)
Gyroscope (degrees/sec): (8.986,3.229,4.454)
Temperature: 24.500C
Acceleration (m/s^2): (-0.610,0.406,-9.693)
Magnetometer (gauss): (1.002,-0.097,0.356)
Gyroscope (degrees/sec): (8.873,3.789,4.174)
Temperature: 24.500C
Acceleration (m/s^2): (-0.641,0.421,-9.721)
Magnetometer (gauss): (1.002,-0.097,0.356)
Gyroscope (degrees/sec): (8.435,4.795,3.850)
Temperature: 24.500C
Acceleration (m/s^2): (-0.650,0.433,-9.744)
Magnetometer (gauss): (1.002,-0.096,0.366)
Gyroscope (degrees/sec): (8.453,4.961,3.553)
Temperature: 24.500C
Acceleration (m/s^2): (-0.688,0.455,-9.821)
Magnetometer (gauss): (1.015,-0.096,0.366)
Gyroscope (degrees/sec): (8.846,4.366,2.853)
Temperature: 24.500C
Acceleration (m/s^2): (-0.691,0.474,-9.881)
Magnetometer (gauss): (1.015,-0.096,0.366)
Gyroscope (degrees/sec): (7.901,4.699,2.721)
Temperature: 24.500C
Acceleration (m/s^2): (-0.703,0.449,-9.931)
Magnetometer (gauss): (1.015,-0.096,0.366)
Gyroscope (degrees/sec): (7.814,4.436,2.415)
Temperature: 24.500C
Acceleration (m/s^2): (-0.700,0.437,-9.968)
Magnetometer (gauss): (1.015,-0.096,0.366)
Gyroscope (degrees/sec): (7.236,4.130,2.179)
Temperature: 24.500C
Acceleration (m/s^2): (-0.697,0.435,-10.013)
Magnetometer (gauss): (1.015,-0.096,0.366)
Gyroscope (degrees/sec): (7.149,3.684,1.715)
Temperature: 24.500C
Acceleration (m/s^2): (-0.890,0.461,-10.035)
Magnetometer (gauss): (1.015,-0.096,0.366)
Gyroscope (degrees/sec): (6.895,3.360,1.260)
Temperature: 24.500C
Acceleration (m/s^2): (-0.753,0.477,-10.036)
Magnetometer (gauss): (1.015,-0.096,0.366)
Gyroscope (degrees/sec): (6.440,2.371,1.068)
Temperature: 24.500C
Acceleration (m/s^2): (-0.759,0.483,-10.111)
Magnetometer (gauss): (1.004,-0.090,0.358)
Gyroscope (degrees/sec): (6.081,1.566,0.875)
Temperature: 24.500C
Acceleration (m/s^2): (-0.753,0.477,-10.019)
Magnetometer (gauss): (1.004,-0.090,0.358)
Gyroscope (degrees/sec): (5.548,1.365,0.831)
Temperature: 24.500C
Acceleration (m/s^2): (-0.630,0.449,-10.161)
Magnetometer (gauss): (1.004,-0.090,0.358)
Gyroscope (degrees/sec): (5.338,0.945,0.656)
Temperature: 24.500C
Acceleration (m/s^2): (-0.700,0.490,-10.099)
Magnetometer (gauss): (1.004,-0.090,0.358)
Gyroscope (degrees/sec): (4.996,0.333,0.674)
Temperature: 24.500C
Acceleration (m/s^2): (-0.694,0.500,-10.056)
Magnetometer (gauss): (1.004,-0.090,0.358)
Gyroscope (degrees/sec): (4.638,0.245,0.306)
Temperature: 24.500C
Acceleration (m/s^2): (-0.732,0.483,-10.022)
Magnetometer (gauss): (1.004,-0.090,0.358)
Gyroscope (degrees/sec): (3.999,0.131,0.280)
Temperature: 24.500C
Acceleration (m/s^2): (-0.678,0.541,-10.047)
Magnetometer (gauss): (1.004,-0.090,0.358)
Gyroscope (degrees/sec): (3.789,0.070,0.201)
Temperature: 24.500C
Acceleration (m/s^2): (-0.658,0.526,-10.080)
Magnetometer (gauss): (0.995,-0.089,0.362)
Gyroscope (degrees/sec): (3.483,0.035,0.035)
Temperature: 24.500C
Acceleration (m/s^2): (-0.668,0.531,-10.071)
Magnetometer (gauss): (0.995,-0.089,0.362)
Gyroscope (degrees/sec): (2.896,-0.298,-0.149)
Temperature: 24.500C
Acceleration (m/s^2): (-0.635,0.532,-10.062)
Magnetometer (gauss): (0.995,-0.089,0.362)
Gyroscope (degrees/sec): (2.958,-0.543,-0.551)
Temperature: 24.500C
Acceleration (m/s^2): (-0.653,0.516,-10.033)
Magnetometer (gauss): (0.995,-0.089,0.362)
Gyroscope (degrees/sec): (2.809,-0.718,-1.041)
Temperature: 24.500C
Acceleration (m/s^2): (-0.675,0.504,-10.104)
Magnetometer (gauss): (0.995,-0.089,0.362)
Gyroscope (degrees/sec): (2.476,-1.190,-1.400)
Temperature: 24.500C
Acceleration (m/s^2): (-0.679,0.485,-10.050)
Magnetometer (gauss): (0.995,-0.089,0.362)
Gyroscope (degrees/sec): (2.371,-1.453,-1.628)
Temperature: 24.500C
Acceleration (m/s^2): (-0.651,0.471,-10.093)
Magnetometer (gauss): (0.988,-0.102,0.361)
Gyroscope (degrees/sec): (1.916,-1.820,-1.820)
Temperature: 24.500C
Acceleration (m/s^2): (-0.676,0.462,-10.000)
Magnetometer (gauss): (0.988,-0.102,0.361)
Gyroscope (degrees/sec): (1.645,-2.065,-2.188)
Temperature: 24.500C
Acceleration (m/s^2): (-0.662,0.434,-10.036)
Magnetometer (gauss): (0.988,-0.102,0.361)
Gyroscope (degrees/sec): (1.173,-2.555,-2.293)
Temperature: 24.500C
Acceleration (m/s^2): (-0.625,0.412,-9.985)
Magnetometer (gauss): (0.988,-0.102,0.361)
Gyroscope (degrees/sec): (0.980,-2.249,-2.494)
Temperature: 24.500C
Acceleration (m/s^2): (-0.569,0.412,-10.050)
Magnetometer (gauss): (0.988,-0.102,0.361)
Gyroscope (degrees/sec): (0.805,-2.581,-2.669)
Temperature: 24.500C
Acceleration (m/s^2): (-0.612,0.419,-10.004)
Magnetometer (gauss): (0.988,-0.102,0.361)
Gyroscope (degrees/sec): (0.359,-2.678,-3.106)
Temperature: 24.500C
Acceleration (m/s^2): (-0.569,0.409,-10.028)
Magnetometer (gauss): (0.988,-0.094,0.349)
Gyroscope (degrees/sec): (-0.158,-2.651,-3.185)
Temperature: 24.500C
Acceleration (m/s^2): (-0.604,0.401,-10.016)
Magnetometer (gauss): (1.003,-0.094,0.349)
Gyroscope (degrees/sec): (-0.236,-2.730,-3.246)
Temperature: 24.500C
Acceleration (m/s^2): (-0.660,0.370,-10.002)
Magnetometer (gauss): (1.003,-0.094,0.349)
Gyroscope (degrees/sec): (-0.385,-2.844,-3.518)
Temperature: 24.500C
Acceleration (m/s^2): (-0.636,0.392,-10.007)
Magnetometer (gauss): (1.003,-0.094,0.349)
Gyroscope (degrees/sec): (-0.823,-3.054,-3.456)
Temperature: 24.500C
Acceleration (m/s^2): (-0.660,0.401,-10.016)
Magnetometer (gauss): (1.003,-0.094,0.349)
Gyroscope (degrees/sec): (-0.919,-3.544,-3.421)
Temperature: 24.500C
Acceleration (m/s^2): (-0.674,0.407,-9.966)
Magnetometer (gauss): (1.003,-0.094,0.349)
Gyroscope (degrees/sec): (-0.455,-3.754,-3.360)
Temperature: 24.500C
Acceleration (m/s^2): (-0.718,0.387,-10.000)
Magnetometer (gauss): (1.003,-0.094,0.349)
Gyroscope (degrees/sec): (-0.534,-4.261,-3.395)
Temperature: 24.500C
Acceleration (m/s^2): (-0.678,0.422,-9.968)
Magnetometer (gauss): (1.003,-0.094,0.349)
Gyroscope (degrees/sec): (-0.350,-4.856,-3.299)
Temperature: 24.500C
Acceleration (m/s^2): (-0.689,0.381,-10.022)
Magnetometer (gauss): (1.000,-0.091,0.358)
Gyroscope (degrees/sec): (-0.158,-5.714,-3.246)
Temperature: 24.500C
Acceleration (m/s^2): (-0.751,0.389,-9.994)
Magnetometer (gauss): (1.000,-0.091,0.358)
Gyroscope (degrees/sec): (-0.210,-6.501,-3.150)
Temperature: 24.500C
