Acceleration (m/s^2): (0.450,0.081,-5.534)
Magnetometer (gauss): (0.998,-0.093,0.353)
Gyroscope (degrees/sec): (-161.289,-38.106,153.851)
Temperature: 24.500C
Acceleration (m/s^2): (-2.687,0.962,-13.420)
Magnetometer (gauss): (0.998,-0.093,0.353)
Gyroscope (degrees/sec): (-91.831,-21.079,216.046)
Temperature: 24.500C
Acceleration (m/s^2): (-0.958,1.344,-16.354)
Magnetometer (gauss): (0.998,-0.093,0.353)
Gyroscope (degrees/sec): (225.050,83.563,-277.016)
Temperature: 24.500C
Acceleration (m/s^2): (-0.767,0.364,-8.871)
Magnetometer (gauss): (0.998,-0.093,0.353)
Gyroscope (degrees/sec): (11.130,8.908,-271.933)
Temperature: 24.500C
Acceleration (m/s^2): (-1.107,0.458,-9.696)
Magnetometer (gauss): (0.998,-0.093,0.353)
Gyroscope (degrees/sec): (-1.348,-2.205,-54.819)
Temperature: 24.500C
Acceleration (m/s^2): (-1.125,0.453,-9.683)
Magnetometer (gauss): (0.998,-0.093,0.353)
Gyroscope (degrees/sec): (-4.716,-2.503,-16.301)
Temperature: 24.500C
Acceleration (m/s^2): (-1.140,0.416,-9.751)
Magnetometer (gauss): (0.998,-0.093,0.353)
Gyroscope (degrees/sec): (-5.031,-2.503,-11.235)
Temperature: 24.500C
Acceleration (m/s^2): (-1.141,0.398,-9.787)
Magnetometer (gauss): (0.997,-0.086,0.361)
Gyroscope (degrees/sec): (-4.865,-2.555,-10.001)
Temperature: 24.500C
Acceleration (m/s^2): (-1.205,0.383,-9.828)
Magnetometer (gauss): (0.997,-0.086,0.361)
Gyroscope (degrees/sec): (-5.005,-2.721,-9.739)
Temperature: 24.500C
Acceleration (m/s^2): (-1.272,0.347,-9.803)
Magnetometer (gauss): (0.997,-0.086,0.361)
Gyroscope (degrees/sec): (-5.005,-3.316,-9.450)
Temperature: 24.500C
Acceleration (m/s^2): (-1.258,0.365,-9.851)
Magnetometer (gauss): (0.997,-0.086,0.361)
Gyroscope (degrees/sec): (-5.128,-3.570,-9.188)
Temperature: 24.500C
Acceleration (m/s^2): (-1.231,0.352,-9.775)
Magnetometer (gauss): (0.997,-0.086,0.361)
Gyroscope (degrees/sec): (-4.778,-4.104,-8.680)
Temperature: 24.500C
Acceleration (m/s^2): (-1.177,0.327,-9.812)
Magnetometer (gauss): (0.997,-0.086,0.361)
Gyroscope (degrees/sec): (-5.031,-4.699,-7.849)
Temperature: 24.500C
Acceleration (m/s^2): (-1.176,0.303,-9.672)
Magnetometer (gauss): (0.997,-0.086,0.361)
Gyroscope (degrees/sec): (-1.715,-7.901,-11.113)
Temperature: 24.500C
Acceleration (m/s^2): (-1.130,0.318,-9.669)
Magnetometer (gauss): (1.003,-0.091,0.373)
Gyroscope (degrees/sec): (-4.594,-5.329,-7.866)
Temperature: 24.500C
Acceleration (m/s^2): (-1.058,0.286,-9.628)
Magnetometer (gauss): (1.003,-0.091,0.373)
Gyroscope (degrees/sec): (-4.813,-5.084,-4.585)
Temperature: 24.500C
Acceleration (m/s^2): (-1.011,0.308,-9.594)
Magnetometer (gauss): (1.003,-0.091,0.373)
Gyroscope (degrees/sec): (-4.515,-4.813,-6.178)
Temperature: 24.500C
Acceleration (m/s^2): (-1.015,0.269,-9.592)
Magnetometer (gauss): (1.003,-0.091,0.373)
Gyroscope (degrees/sec): (-4.008,-3.999,-5.819)
Temperature: 24.500C
Acceleration (m/s^2): (-0.997,0.266,-9.577)
Magnetometer (gauss): (1.003,-0.091,0.373)
Gyroscope (degrees/sec): (-3.833,-3.553,-5.206)
Temperature: 24.500C
Acceleration (m/s^2): (-0.947,0.277,-9.512)
Magnetometer (gauss): (1.003,-0.091,0.373)
Gyroscope (degrees/sec): (-3.063,-3.045,-4.673)
Temperature: 24.500C
Acceleration (m/s^2): (-0.910,0.260,-9.488)
Magnetometer (gauss): (1.003,-0.091,0.373)
Gyroscope (degrees/sec): (-2.564,-2.319,-4.209)
Temperature: 24.500C
Acceleration (m/s^2): (-0.943,0.267,-9.509)
Magnetometer (gauss): (1.003,-0.091,0.373)
Gyroscope (degrees/sec): (-1.680,-1.566,-3.929)
Temperature: 24.500C
Acceleration (m/s^2): (-0.927,0.287,-9.439)
Magnetometer (gauss): (0.999,-0.084,0.359)
Gyroscope (degrees/sec): (-0.394,-0.858,-3.868)
Temperature: 24.500C
Acceleration (m/s^2): (-0.884,0.290,-9.609)
Magnetometer (gauss): (0.999,-0.084,0.359)
Gyroscope (degrees/sec): (0.543,-0.823,-3.640)
Temperature: 24.500C
Acceleration (m/s^2): (-1.008,0.295,-9.605)
Magnetometer (gauss): (0.999,-0.084,0.359)
Gyroscope (degrees/sec): (1.181,-0.263,-3.308)
Temperature: 24.500C
Acceleration (m/s^2): (-1.007,0.305,-9.590)
Magnetometer (gauss): (0.999,-0.084,0.359)
Gyroscope (degrees/sec): (4.340,-0.026,-3.106)
Temperature: 24.500C
Acceleration (m/s^2): (-0.976,0.282,-9.625)
Magnetometer (gauss): (0.999,-0.084,0.359)
Gyroscope (degrees/sec): (2.844,0.324,-3.220)
Temperature: 24.500C
Acceleration (m/s^2): (-0.974,0.311,-9.703)
Magnetometer (gauss): (0.999,-0.084,0.359)
Gyroscope (degrees/sec): (3.666,0.490,-3.360)
Temperature: 24.500C
