Acceleration (m/s^2): (0.401,-0.230,-5.654)
Magnetometer (gauss): (0.979,-0.084,0.360)
Gyroscope (degrees/sec): (-157.693,-50.768,186.393)
Temperature: 24.500C
Acceleration (m/s^2): (-3.203,0.971,-16.263)
Magnetometer (gauss): (0.979,-0.084,0.360)
Gyroscope (degrees/sec): (-0.254,8.741,141.111)
Temperature: 24.500C
Acceleration (m/s^2): (-0.580,0.699,-14.501)
Magnetometer (gauss): (0.979,-0.084,0.360)
Gyroscope (degrees/sec): (195.300,73.124,-168.560)
Temperature: 24.500C
Acceleration (m/s^2): (0.913,-0.419,-4.073)
Magnetometer (gauss): (0.979,-0.084,0.360)
Gyroscope (degrees/sec): (-93.240,-30.809,156.940)
Temperature: 24.500C
Acceleration (m/s^2): (-1.047,0.259,-9.924)
Magnetometer (gauss): (0.979,-0.084,0.360)
Gyroscope (degrees/sec): (-19.049,-2.739,35.131)
Temperature: 24.500C
Acceleration (m/s^2): (-1.073,0.260,-10.023)
Magnetometer (gauss): (0.979,-0.084,0.360)
Gyroscope (degrees/sec): (9.310,1.330,5.303)
Temperature: 24.500C
Acceleration (m/s^2): (-1.105,0.261,-9.955)
Magnetometer (gauss): (0.979,-0.084,0.360)
Gyroscope (degrees/sec): (10.614,1.505,1.173)
Temperature: 24.500C
Acceleration (m/s^2): (-1.101,0.248,-10.049)
Magnetometer (gauss): (0.975,-0.082,0.378)
Gyroscope (degrees/sec): (10.579,1.216,0.280)
Temperature: 24.500C
Acceleration (m/s^2): (-1.099,0.221,-10.144)
Magnetometer (gauss): (0.975,-0.082,0.378)
Gyroscope (degrees/sec): (9.643,0.805,0.009)
Temperature: 24.500C
Acceleration (m/s^2): (-1.132,0.231,-10.133)
Magnetometer (gauss): (0.975,-0.082,0.378)
Gyroscope (degrees/sec): (8.925,0.438,-0.018)
Temperature: 24.500C
Acceleration (m/s^2): (-1.140,0.242,-10.143)
Magnetometer (gauss): (0.975,-0.082,0.378)
Gyroscope (degrees/sec): (7.560,0.184,-0.289)
Temperature: 24.500C
Acceleration (m/s^2): (-1.155,0.197,-10.249)
Magnetometer (gauss): (0.975,-0.082,0.378)
Gyroscope (degrees/sec): (6.466,-0.228,-0.368)
Temperature: 24.500C
Acceleration (m/s^2): (-1.228,0.226,-10.213)
Magnetometer (gauss): (0.975,-0.082,0.378)
Gyroscope (degrees/sec): (5.670,-0.446,-0.324)
Temperature: 24.500C
Acceleration (m/s^2): (-1.211,0.229,-10.271)
Magnetometer (gauss): (0.975,-0.082,0.378)
Gyroscope (degrees/sec): (2.240,-0.998,-0.333)
Temperature: 24.500C
Acceleration (m/s^2): (-1.210,0.214,-10.244)
Magnetometer (gauss): (0.975,-0.080,0.357)
Gyroscope (degrees/sec): (4.471,-3.089,-1.706)
Temperature: 24.500C
Acceleration (m/s^2): (-1.211,0.199,-10.241)
Magnetometer (gauss): (0.972,-0.080,0.357)
Gyroscope (degrees/sec): (2.336,-2.459,-0.543)
Temperature: 24.500C
Acceleration (m/s^2): (-1.198,0.203,-10.222)
Magnetometer (gauss): (0.972,-0.080,0.357)
Gyroscope (degrees/sec): (0.779,-2.993,-0.630)
Temperature: 24.500C
Acceleration (m/s^2): (-1.191,0.169,-10.221)
Magnetometer (gauss): (0.972,-0.080,0.357)
Gyroscope (degrees/sec): (-0.061,-3.745,-0.621)
Temperature: 24.500C
Acceleration (m/s^2): (-1.208,0.153,-10.115)
Magnetometer (gauss): (0.972,-0.080,0.357)
Gyroscope (degrees/sec): (-0.954,-4.113,-0.796)
Temperature: 24.500C
Acceleration (m/s^2): (-1.157,0.152,-10.056)
Magnetometer (gauss): (0.972,-0.080,0.357)
Gyroscope (degrees/sec): (-1.803,-4.944,-0.875)
Temperature: 24.500C
