Acceleration (m/s^2): (-0.311,0.553,-9.108)
Magnetometer (gauss): (0.999,-0.111,0.366)
Gyroscope (degrees/sec): (-84.219,-63.963,247.074)
Temperature: 23.500C
Acceleration (m/s^2): (-2.694,1.337,-16.421)
Magnetometer (gauss): (0.999,-0.111,0.366)
Gyroscope (degrees/sec): (65.249,31.404,45.106)
Temperature: 23.500C
Acceleration (m/s^2): (0.395,0.772,-12.272)
Magnetometer (gauss): (0.999,-0.111,0.366)
Gyroscope (degrees/sec): (163.476,61.609,-203.473)
Temperature: 23.500C
Acceleration (m/s^2): (1.850,-0.096,-3.593)
Magnetometer (gauss): (0.999,-0.111,0.366)
Gyroscope (degrees/sec): (-94.719,-31.238,256.121)
Temperature: 24.500C
Acceleration (m/s^2): (-0.404,0.568,-9.270)
Magnetometer (gauss): (0.999,-0.111,0.366)
Gyroscope (degrees/sec): (-22.120,1.435,40.600)
Temperature: 24.500C
Acceleration (m/s^2): (-0.460,0.589,-9.316)
Magnetometer (gauss): (0.999,-0.111,0.366)
Gyroscope (degrees/sec): (6.773,7.254,8.479)
Temperature: 24.500C
Acceleration (m/s^2): (-0.506,0.607,-9.393)
Magnetometer (gauss): (0.999,-0.111,0.366)
Gyroscope (degrees/sec): (9.713,8.558,3.623)
Temperature: 24.500C
Acceleration (m/s^2): (-0.499,0.639,-9.483)
Magnetometer (gauss): (0.999,-0.116,0.353)
Gyroscope (degrees/sec): (10.570,9.240,2.494)
Temperature: 24.500C
Acceleration (m/s^2): (-0.543,0.669,-9.555)
Magnetometer (gauss): (0.999,-0.116,0.353)
Gyroscope (degrees/sec): (11.673,9.783,2.170)
Temperature: 24.500C
Acceleration (m/s^2): (-0.661,0.699,-9.694)
Magnetometer (gauss): (0.999,-0.116,0.353)
Gyroscope (degrees/sec): (12.968,9.861,1.978)
Temperature: 24.500C
Acceleration (m/s^2): (-0.696,0.724,-9.789)
Magnetometer (gauss): (0.999,-0.116,0.353)
Gyroscope (degrees/sec): (13.606,9.756,1.671)
Temperature: 24.500C
Acceleration (m/s^2): (-0.812,0.754,-9.893)
Magnetometer (gauss): (0.999,-0.116,0.353)
Gyroscope (degrees/sec): (14.490,9.599,1.636)
Temperature: 24.500C
Acceleration (m/s^2): (-0.883,0.771,-10.052)
Magnetometer (gauss): (0.999,-0.116,0.353)
Gyroscope (degrees/sec): (15.243,9.258,1.803)
Temperature: 24.500C
Acceleration (m/s^2): (-0.958,0.810,-10.081)
Magnetometer (gauss): (0.999,-0.116,0.353)
Gyroscope (degrees/sec): (15.348,8.628,1.890)
Temperature: 24.500C
Acceleration (m/s^2): (-0.948,0.823,-10.263)
Magnetometer (gauss): (0.999,-0.108,0.363)
Gyroscope (degrees/sec): (19.591,3.885,-1.173)
Temperature: 24.500C
Acceleration (m/s^2): (-0.997,0.863,-10.409)
Magnetometer (gauss): (0.995,-0.108,0.363)
Gyroscope (degrees/sec): (16.485,5.119,0.770)
Temperature: 24.500C
Acceleration (m/s^2): (-0.987,0.798,-10.445)
Magnetometer (gauss): (0.995,-0.108,0.363)
Gyroscope (degrees/sec): (15.400,4.620,1.470)
Temperature: 24.500C
Acceleration (m/s^2): (-1.014,0.868,-10.459)
Magnetometer (gauss): (0.995,-0.108,0.363)
Gyroscope (degrees/sec): (14.569,2.739,1.461)
Temperature: 24.500C
Acceleration (m/s^2): (-1.090,0.934,-10.642)
Magnetometer (gauss): (0.995,-0.108,0.363)
Gyroscope (degrees/sec): (13.081,2.266,1.619)
Temperature: 24.500C
Acceleration (m/s^2): (-0.938,0.937,-10.556)
Magnetometer (gauss): (0.995,-0.108,0.363)
Gyroscope (degrees/sec): (11.918,1.059,1.575)
Temperature: 24.500C
Acceleration (m/s^2): (-1.036,0.976,-10.529)
Magnetometer (gauss): (0.995,-0.108,0.363)
Gyroscope (degrees/sec): (10.246,-0.648,1.741)
Temperature: 24.500C
Acceleration (m/s^2): (-1.000,0.977,-10.589)
Magnetometer (gauss): (0.995,-0.108,0.363)
Gyroscope (degrees/sec): (8.339,-1.496,1.575)
Temperature: 24.500C
Acceleration (m/s^2): (-0.964,1.009,-10.533)
Magnetometer (gauss): (0.991,-0.114,0.346)
Gyroscope (degrees/sec): (6.624,-2.074,1.654)
Temperature: 24.500C
Acceleration (m/s^2): (-0.939,1.061,-10.452)
Magnetometer (gauss): (0.991,-0.114,0.346)
Gyroscope (degrees/sec): (5.408,-3.343,1.356)
Temperature: 24.500C
Acceleration (m/s^2): (-0.863,1.086,-10.473)
Magnetometer (gauss): (0.991,-0.114,0.346)
Gyroscope (degrees/sec): (3.710,-3.876,1.155)
Temperature: 24.500C
Acceleration (m/s^2): (-0.834,1.098,-10.356)
Magnetometer (gauss): (0.991,-0.114,0.346)
Gyroscope (degrees/sec): (0.403,-4.524,0.893)
Temperature: 24.500C
Acceleration (m/s^2): (-0.751,1.095,-10.281)
Magnetometer (gauss): (0.991,-0.114,0.346)
Gyroscope (degrees/sec): (0.560,-4.961,0.805)
Temperature: 24.500C
Acceleration (m/s^2): (-0.698,1.094,-10.208)
Magnetometer (gauss): (0.991,-0.114,0.346)
Gyroscope (degrees/sec): (-0.105,-5.110,0.236)
Temperature: 24.500C
Acceleration (m/s^2): (-0.693,1.097,-10.110)
Magnetometer (gauss): (0.991,-0.114,0.346)
Gyroscope (degrees/sec): (-0.630,-4.629,-0.595)
Temperature: 24.500C
Acceleration (m/s^2): (-0.649,1.083,-10.065)
Magnetometer (gauss): (0.992,-0.107,0.357)
Gyroscope (degrees/sec): (-0.971,-4.436,-1.243)
Temperature: 24.500C
Acceleration (m/s^2): (-0.690,1.056,-10.000)
Magnetometer (gauss): (0.992,-0.107,0.357)
Gyroscope (degrees/sec): (-1.444,-4.681,-1.663)
Temperature: 24.500C
Acceleration (m/s^2): (-0.617,1.199,-9.933)
Magnetometer (gauss): (0.992,-0.107,0.357)
Gyroscope (degrees/sec): (-1.076,-4.699,-2.118)
Temperature: 24.500C
Acceleration (m/s^2): (-0.595,1.085,-9.862)
Magnetometer (gauss): (0.992,-0.107,0.357)
Gyroscope (degrees/sec): (-0.954,-4.384,-2.791)
Temperature: 24.500C
Acceleration (m/s^2): (-0.535,1.065,-9.951)
Magnetometer (gauss): (0.992,-0.107,0.357)
Gyroscope (degrees/sec): (-1.033,-4.156,-3.413)
Temperature: 24.500C
Acceleration (m/s^2): (-0.543,1.062,-9.919)
Magnetometer (gauss): (0.992,-0.107,0.357)
Gyroscope (degrees/sec): (-0.158,-4.078,-3.903)
Temperature: 24.500C
Acceleration (m/s^2): (-0.530,1.038,-9.917)
Magnetometer (gauss): (0.992,-0.107,0.357)
Gyroscope (degrees/sec): (0.131,-3.911,-4.734)
Temperature: 24.500C
